Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -5.29009      7.98546      3.18124      4.80422
     -5.28009      7.14195      2.77804      4.36391
     -5.27009      5.77814      2.25883      3.51931
     -5.26009      5.01505      1.97850      3.03655
     -5.25009      4.64056      1.84358      2.79698
     -5.24009      4.92692      1.99161      2.93531
     -5.23009      5.67118      2.31134      3.35984
     -5.22009      5.17013      2.08514      3.08498
     -5.21009      3.29000      1.27983      2.01017
     -5.20009      1.93318      0.70443      1.22875
     -5.19009      1.70816      0.59089      1.11727
     -5.18009      2.00813      0.68024      1.32789
     -5.17009      2.02818      0.69495      1.33324
     -5.16009      1.71340      0.60260      1.11080
     -5.15009      1.54099      0.55700      0.98399
     -5.14009      1.69478      0.60836      1.08642
     -5.13009      1.64717      0.56529      1.08188
     -5.12009      1.32856      0.43264      0.89593
     -5.11009      1.19431      0.39834      0.79597
     -5.10009      1.27703      0.45305      0.82398
     -5.09009      1.33556      0.47943      0.85613
     -5.08009      1.41116      0.50748      0.90369
     -5.07009      1.68758      0.59688      1.09070
     -5.06009      1.58371      0.53861      1.04510
     -5.05009      1.01131      0.32866      0.68265
     -5.04009      0.58572      0.18985      0.39588
     -5.03009      0.51814      0.18165      0.33649
     -5.02009      0.65290      0.23709      0.41581
     -5.01009      0.99935      0.34853      0.65082
     -5.00009      1.59599      0.53786      1.05813
     -4.99009      1.60343      0.53653      1.06690
     -4.98009      1.10123      0.36823      0.73300
     -4.97009      0.78959      0.26708      0.52252
     -4.96009      0.83561      0.29411      0.54150
     -4.95009      0.92917      0.33240      0.59677
     -4.94009      0.56009      0.20085      0.35924
     -4.93009      0.42356      0.14956      0.27400
     -4.92009      0.84989      0.29776      0.55213
     -4.91009      1.05525      0.36604      0.68922
     -4.90009      0.94509      0.32021      0.62489
     -4.89009      0.95550      0.32395      0.63156
     -4.88009      0.90076      0.30608      0.59468
     -4.87009      0.66928      0.23061      0.43867
     -4.86009      0.40068      0.14550      0.25518
     -4.85009      0.38026      0.14041      0.23984
     -4.84009      0.83008      0.30387      0.52620
     -4.83009      1.31391      0.47695      0.83696
     -4.82009      1.38775      0.48333      0.90442
     -4.81009      1.18255      0.39395      0.78860
     -4.80009      0.91717      0.30314      0.61404
     -4.79009      0.91225      0.30221      0.61005
     -4.78009      0.87767      0.29800      0.57967
     -4.77009      0.75828      0.27232      0.48596
     -4.76009      0.69327      0.24645      0.44683
     -4.75009      0.65385      0.21878      0.43507
     -4.74009      0.59428      0.20250      0.39178
     -4.73009      0.71717      0.25155      0.46562
     -4.72009      0.95699      0.32350      0.63349
     -4.71009      1.01298      0.33679      0.67618
     -4.70009      0.78771      0.26985      0.51786
     -4.69009      0.87473      0.30489      0.56984
     -4.68009      1.36817      0.46852      0.89965
     -4.67009      1.26412      0.42948      0.83464
     -4.66009      0.59100      0.19869      0.39231
     -4.65009      0.19880      0.06390      0.13489
     -4.64009      0.12295      0.03859      0.08435
     -4.63009      0.34134      0.10944      0.23190
     -4.62009      0.70183      0.22557      0.47626
     -4.61009      0.61662      0.19938      0.41725
     -4.60009      0.33086      0.11296      0.21790
     -4.59009      0.33395      0.12341      0.21054
     -4.58009      0.45140      0.16076      0.29064
     -4.57009      0.78477      0.26167      0.52310
     -4.56009      1.36248      0.45512      0.90737
     -4.55009      1.54807      0.52784      1.02023
     -4.54009      1.33540      0.45709      0.87831
     -4.53009      1.08721      0.36367      0.72354
     -4.52009      0.71371      0.23652      0.47719
     -4.51009      0.35083      0.11996      0.23087
     -4.50009      0.17518      0.06259      0.11259
     -4.49009      0.19565      0.07104      0.12461
     -4.48009      0.27757      0.10105      0.17652
     -4.47009      0.32204      0.11677      0.20527
     -4.46009      0.61582      0.21856      0.39726
     -4.45009      1.17718      0.41348      0.76370
     -4.44009      1.41617      0.51895      0.89721
     -4.43009      1.73730      0.71726      1.02004
     -4.42009      2.80028      1.22091      1.57938
     -4.41009      4.06021      1.75516      2.30504
     -4.40009      4.42082      1.90140      2.51942
     -4.39009      4.40036      1.88415      2.51622
     -4.38009      4.93871      2.04845      2.89027
     -4.37009      5.56349      2.23219      3.33130
     -4.36009      5.75002      2.26339      3.48662
     -4.35009      5.83385      2.25882      3.57503
     -4.34009      6.33794      2.40070      3.93724
     -4.33009      6.45233      2.40097      4.05136
     -4.32009      6.17401      2.28374      3.89028
     -4.31009      6.89394      2.54642      4.34752
     -4.30009      7.07616      2.59024      4.48592
     -4.29009      6.47630      2.36041      4.11588
     -4.28009      6.34495      2.33896      4.00599
     -4.27009      6.26821      2.32725      3.94096
     -4.26009      6.35139      2.32141      4.02998
     -4.25009      6.57294      2.36150      4.21144
     -4.24009      6.41214      2.30072      4.11142
     -4.23009      5.53625      1.99824      3.53801
     -4.22009      5.39672      1.95837      3.43836
     -4.21009      5.87727      2.12998      3.74729
     -4.20009      5.43598      1.95280      3.48318
     -4.19009      3.89644      1.37462      2.52182
     -4.18009      2.64021      0.93786      1.70235
     -4.17009      3.00140      1.08537      1.91603
     -4.16009      3.54948      1.26153      2.28795
     -4.15009      3.56425      1.26330      2.30095
     -4.14009      3.81353      1.37369      2.43984
     -4.13009      3.87571      1.40318      2.47253
     -4.12009      3.16631      1.13252      2.03379
     -4.11009      2.47547      0.86232      1.61314
     -4.10009      2.19014      0.76097      1.42917
     -4.09009      2.52716      0.90549      1.62167
     -4.08009      2.53258      0.91455      1.61804
     -4.07009      1.92975      0.68055      1.24919
     -4.06009      1.67622      0.58819      1.08803
     -4.05009      1.81914      0.65768      1.16146
     -4.04009      1.46805      0.55508      0.91297
     -4.03009      0.91832      0.37312      0.54520
     -4.02009      0.90041      0.36445      0.53596
     -4.01009      0.88628      0.34443      0.54184
     -4.00009      0.75105      0.30342      0.44764
     -3.99009      1.07772      0.46925      0.60847
     -3.98009      1.46696      0.63958      0.82738
     -3.97009      1.71892      0.72208      0.99684
     -3.96009      1.94509      0.77184      1.17325
     -3.95009      1.71282      0.64827      1.06454
     -3.94009      1.45500      0.55801      0.89699
     -3.93009      1.18337      0.47694      0.70644
     -3.92009      0.92606      0.37763      0.54843
     -3.91009      0.81374      0.29726      0.51649
     -3.90009      0.88474      0.28817      0.59657
     -3.89009      1.01979      0.33941      0.68038
     -3.88009      1.13279      0.40843      0.72436
     -3.87009      1.01000      0.38756      0.62244
     -3.86009      0.75925      0.28853      0.47071
     -3.85009      0.91539      0.33905      0.57634
     -3.84009      1.53381      0.58853      0.94528
     -3.83009      2.36455      0.90813      1.45642
     -3.82009      2.89786      1.09344      1.80443
     -3.81009      3.26570      1.21277      2.05293
     -3.80009      3.37479      1.25302      2.12177
     -3.79009      3.09277      1.12992      1.96285
     -3.78009      2.86412      0.99483      1.86929
     -3.77009      2.74432      0.95779      1.78652
     -3.76009      2.59625      0.94583      1.65041
     -3.75009      2.56407      0.92485      1.63922
     -3.74009      2.50414      0.86031      1.64383
     -3.73009      2.89458      0.98867      1.90591
     -3.72009      3.74744      1.32168      2.42576
     -3.71009      3.98617      1.40228      2.58389
     -3.70009      3.59474      1.21810      2.37664
     -3.69009      3.34918      1.10820      2.24098
     -3.68009      3.61831      1.21279      2.40552
     -3.67009      4.04072      1.40365      2.63707
     -3.66009      3.83158      1.38430      2.44728
     -3.65009      3.13300      1.13450      1.99850
     -3.64009      3.32866      1.15549      2.17318
     -3.63009      4.16430      1.41437      2.74993
     -3.62009      4.29059      1.36598      2.92461
     -3.61009      5.34167      1.65711      3.68457
     -3.60009      6.57855      2.19143      4.38712
     -3.59009      6.12184      2.13574      3.98610
     -3.58009      5.05364      1.74975      3.30389
     -3.57009      4.09697      1.38037      2.71660
     -3.56009      3.24538      1.10567      2.13972
     -3.55009      3.66746      1.29533      2.37213
     -3.54009      4.93115      1.78400      3.14716
     -3.53009      5.06727      1.87119      3.19608
     -3.52009      3.60318      1.33970      2.26348
     -3.51009      2.39508      0.91463      1.48045
     -3.50009      2.54451      0.99604      1.54847
     -3.49009      2.94122      1.10910      1.83212
     -3.48009      3.21281      1.20110      2.01172
     -3.47009      3.45889      1.36282      2.09607
     -3.46009      3.26819      1.36188      1.90631
     -3.45009      3.18270      1.33858      1.84412
     -3.44009      3.09817      1.29078      1.80739
     -3.43009      2.95852      1.29559      1.66293
     -3.42009      3.31334      1.53763      1.77572
     -3.41009      3.42725      1.61163      1.81562
     -3.40009      3.38326      1.59241      1.79085
     -3.39009      3.47513      1.62966      1.84547
     -3.38009      3.40456      1.62610      1.77846
     -3.37009      3.05589      1.48423      1.57166
     -3.36009      2.40945      1.13142      1.27803
     -3.35009      1.89181      0.83591      1.05590
     -3.34009      1.72454      0.76097      0.96357
     -3.33009      1.57005      0.74122      0.82883
     -3.32009      2.05432      1.02992      1.02440
     -3.31009      2.70751      1.32466      1.38285
     -3.30009      2.62836      1.17327      1.45509
     -3.29009      2.57583      1.04237      1.53347
     -3.28009      2.66556      1.07684      1.58871
     -3.27009      2.54137      1.06520      1.47617
     -3.26009      2.19711      0.90021      1.29690
     -3.25009      2.03205      0.81498      1.21707
     -3.24009      2.30455      0.96041      1.34414
     -3.23009      2.22752      0.95948      1.26804
     -3.22009      1.72166      0.77040      0.95126
     -3.21009      1.47565      0.68286      0.79280
     -3.20009      1.29636      0.60537      0.69099
     -3.19009      1.24733      0.60902      0.63831
     -3.18009      1.34019      0.65018      0.69001
     -3.17009      1.23536      0.59466      0.64070
     -3.16009      1.67379      0.81476      0.85902
     -3.15009      2.39662      1.16066      1.23597
     -3.14009      2.31028      1.10328      1.20700
     -3.13009      1.66296      0.76240      0.90056
     -3.12009      1.18560      0.47393      0.71167
     -3.11009      1.05069      0.37109      0.67960
     -3.10009      0.80468      0.30266      0.50201
     -3.09009      1.00978      0.46139      0.54839
     -3.08009      2.03331      0.90796      1.12535
