Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo S  
     -4.99000      4.24679      1.76157      2.48522
     -4.98000      4.14982      1.70884      2.44099
     -4.97000      3.95703      1.61016      2.34688
     -4.96000      3.71433      1.48302      2.23131
     -4.95000      3.23838      1.26297      1.97540
     -4.94000      2.37207      0.86344      1.50864
     -4.93000      1.73128      0.56484      1.16644
     -4.92000      1.43131      0.43271      0.99860
     -4.91000      1.63941      0.50361      1.13580
     -4.90000      3.30497      1.11032      2.19465
     -4.89000      5.11712      1.76740      3.34973
     -4.88000      3.68438      1.26139      2.42298
     -4.87000      1.52408      0.49889      1.02519
     -4.86000      0.99668      0.31158      0.68510
     -4.85000      1.00941      0.30772      0.70170
     -4.84000      1.00314      0.29973      0.70341
     -4.83000      1.05790      0.31962      0.73829
     -4.82000      1.21809      0.38506      0.83304
     -4.81000      1.45808      0.48325      0.97484
     -4.80000      1.60409      0.54904      1.05506
     -4.79000      1.73387      0.59733      1.13654
     -4.78000      1.59773      0.53974      1.05798
     -4.77000      1.11959      0.36684      0.75275
     -4.76000      0.85828      0.27155      0.58673
     -4.75000      0.96698      0.30447      0.66250
     -4.74000      1.24091      0.39892      0.84199
     -4.73000      1.35345      0.44316      0.91029
     -4.72000      1.11609      0.37349      0.74261
     -4.71000      1.04044      0.35661      0.68383
     -4.70000      1.36063      0.46804      0.89259
     -4.69000      1.50128      0.53803      0.96325
     -4.68000      1.46126      0.54641      0.91486
     -4.67000      1.29685      0.46851      0.82835
     -4.66000      1.05503      0.34850      0.70653
     -4.65000      0.83975      0.26348      0.57628
     -4.64000      0.54036      0.16706      0.37330
     -4.63000      0.39325      0.12344      0.26980
     -4.62000      0.65481      0.21299      0.44182
     -4.61000      0.77616      0.25547      0.52069
     -4.60000      0.62268      0.20166      0.42102
     -4.59000      0.91004      0.29248      0.61757
     -4.58000      1.14675      0.37793      0.76882
     -4.57000      0.87724      0.30254      0.57470
     -4.56000      0.76168      0.27561      0.48607
     -4.55000      0.72407      0.25442      0.46966
     -4.54000      0.64589      0.21149      0.43440
     -4.53000      0.70216      0.22950      0.47267
