Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -5.34870      1.46106      0.55557      0.90549
     -5.33870      1.50708      0.56612      0.94096
     -5.32870      1.89044      0.71918      1.17126
     -5.31870      2.10857      0.81305      1.29552
     -5.30870      1.58814      0.60217      0.98598
     -5.29870      1.29989      0.49366      0.80623
     -5.28870      1.46053      0.56548      0.89505
     -5.27870      1.63620      0.62896      1.00725
     -5.26870      1.85515      0.70930      1.14585
     -5.25870      2.49345      0.96447      1.52899
     -5.24870      3.49047      1.36032      2.13015
     -5.23870      3.95729      1.52216      2.43512
     -5.22870      3.61589      1.37930      2.23659
     -5.21870      3.27698      1.27248      2.00450
     -5.20870      3.07958      1.22576      1.85382
     -5.19870      3.00677      1.20331      1.80346
     -5.18870      3.45206      1.36777      2.08429
     -5.17870      4.24129      1.65829      2.58300
     -5.16870      4.96400      1.92962      3.03438
     -5.15870      4.82037      1.87315      2.94721
     -5.14870      4.08199      1.58894      2.49305
     -5.13870      3.44902      1.35040      2.09862
     -5.12870      3.37085      1.33701      2.03384
     -5.11870      3.64373      1.45783      2.18590
     -5.10870      3.69771      1.46525      2.23246
     -5.09870      4.00444      1.54623      2.45821
     -5.08870      4.68628      1.74831      2.93798
     -5.07870      5.14844      1.86798      3.28046
     -5.06870      4.97077      1.76903      3.20174
     -5.05870      4.89698      1.72716      3.16982
     -5.04870      5.56121      1.98748      3.57372
     -5.03870      5.41630      1.96392      3.45238
     -5.02870      5.17801      1.87831      3.29970
     -5.01870      5.74880      2.09774      3.65107
     -5.00870      5.80677      2.17619      3.63058
     -4.99870      5.16750      1.95912      3.20839
     -4.98870      4.73761      1.77282      2.96479
     -4.97870      4.93057      1.80371      3.12686
     -4.96870      4.65343      1.70460      2.94882
     -4.95870      3.73713      1.42034      2.31679
     -4.94870      3.83171      1.50774      2.32397
     -4.93870      4.54792      1.80450      2.74343
     -4.92870      4.51730      1.76916      2.74815
     -4.91870      4.82926      1.84902      2.98024
     -4.90870      5.47258      2.11239      3.36018
     -4.89870      4.78521      1.87251      2.91271
     -4.88870      3.26835      1.28105      1.98729
     -4.87870      2.52910      1.00615      1.52294
     -4.86870      2.74779      1.09050      1.65729
     -4.85870      3.69003      1.42552      2.26451
     -4.84870      4.16100      1.58534      2.57567
     -4.83870      3.30713      1.26708      2.04006
     -4.82870      2.27108      0.85111      1.41997
     -4.81870      1.84656      0.64950      1.19706
     -4.80870      1.46244      0.50325      0.95920
     -4.79870      1.20830      0.41124      0.79706
     -4.78870      1.09165      0.36516      0.72648
     -4.77870      1.05918      0.34720      0.71198
     -4.76870      0.84056      0.26479      0.57578
     -4.75870      0.47933      0.14918      0.33014
     -4.74870      0.61780      0.19909      0.41870
     -4.73870      1.07271      0.34619      0.72652
     -4.72870      1.08323      0.35023      0.73300
     -4.71870      0.49789      0.16233      0.33557
     -4.70870      0.15255      0.04913      0.10343
     -4.69870      0.44738      0.13904      0.30834
     -4.68870      1.31460      0.41216      0.90244
     -4.67870      1.68805      0.54099      1.14706
     -4.66870      1.05507      0.35256      0.70251
     -4.65870      0.54172      0.18984      0.35188
     -4.64870      0.76170      0.25697      0.50473
     -4.63870      1.19863      0.39626      0.80237
     -4.62870      0.86284      0.28615      0.57669
     -4.61870      0.30023      0.10086      0.19937
     -4.60870      0.33943      0.11362      0.22581
     -4.59870      1.03311      0.34133      0.69177
     -4.58870      1.87488      0.61415      1.26072
     -4.57870      1.57525      0.51385      1.06140
     -4.56870      0.54606      0.17776      0.36830
     -4.55870      0.11420      0.03682      0.07737
     -4.54870      0.27165      0.08570      0.18594
     -4.53870      0.73171      0.23067      0.50104
     -4.52870      0.91022      0.29192      0.61830
     -4.51870      0.57414      0.19102      0.38312
     -4.50870      0.22167      0.07615      0.14551
     -4.49870      0.34563      0.11591      0.22973
     -4.48870      1.14520      0.37709      0.76812
     -4.47870      1.97575      0.64222      1.33352
     -4.46870      1.64757      0.53185      1.11573
     -4.45870      0.62339      0.20084      0.42255
     -4.44870      0.11288      0.03632      0.07656
     -4.43870      0.11824      0.03715      0.08109
     -4.42870      0.43331      0.13545      0.29786
     -4.41870      0.78426      0.24780      0.53646
     -4.40870      0.81361      0.26669      0.54692
     -4.39870      0.62892      0.21732      0.41160
     -4.38870      0.54985      0.19513      0.35473
     -4.37870      0.74352      0.25567      0.48785
     -4.36870      1.26497      0.41746      0.84751
     -4.35870      1.51817      0.48767      1.03050
     -4.34870      0.98608      0.31266      0.67342
     -4.33870      0.31120      0.09854      0.21266
     -4.32870      0.04942      0.01564      0.03377
     -4.31870      0.06422      0.02001      0.04421
     -4.30870      0.29638      0.09409      0.20229
     -4.29870      0.71608      0.23096      0.48512
     -4.28870      0.88579      0.28524      0.60055
     -4.27870      0.59974      0.18995      0.40979
     -4.26870      0.37243      0.12073      0.25171
     -4.25870      0.52519      0.17366      0.35153
     -4.24870      1.07639      0.34720      0.72920
     -4.23870      1.90471      0.60828      1.29643
     -4.22870      2.43481      0.77331      1.66151
     -4.21870      3.06590      0.97876      2.08714
     -4.20870      4.01437      1.30083      2.71354
