Energy-E_F (eV)    DOS (1/eV)    PDOS (1/eV)  of atom type Mo Se 
     -4.99000      3.44754      1.35006      2.09748
     -4.98000      3.27973      1.30998      1.96975
     -4.97000      2.85307      1.15655      1.69652
     -4.96000      2.30857      0.92873      1.37984
     -4.95000      2.64700      1.04079      1.60620
     -4.94000      3.89598      1.48454      2.41144
     -4.93000      4.81945      1.82018      2.99927
     -4.92000      4.76425      1.84664      2.91761
     -4.91000      4.52572      1.79044      2.73527
     -4.90000      4.07154      1.60362      2.46792
     -4.89000      3.73141      1.45839      2.27302
     -4.88000      3.56476      1.39288      2.17187
     -4.87000      3.75222      1.46484      2.28738
     -4.86000      4.08236      1.59504      2.48732
     -4.85000      3.59277      1.39408      2.19870
     -4.84000      2.97127      1.15043      1.82084
     -4.83000      2.88678      1.13520      1.75158
     -4.82000      3.75332      1.48640      2.26692
     -4.81000      4.81215      1.90479      2.90736
     -4.80000      4.98226      1.93910      3.04317
     -4.79000      4.44004      1.69113      2.74891
     -4.78000      3.68586      1.38702      2.29883
     -4.77000      3.40771      1.26801      2.13969
     -4.76000      4.18277      1.57455      2.60821
     -4.75000      4.91192      1.86367      3.04825
     -4.74000      4.57506      1.66606      2.90900
     -4.73000      4.66050      1.60121      3.05929
     -4.72000      4.90524      1.69146      3.21379
     -4.71000      4.80209      1.71049      3.09160
     -4.70000      5.52324      2.07034      3.45290
     -4.69000      6.47756      2.47897      3.99859
     -4.68000      6.24283      2.39686      3.84597
     -4.67000      5.10169      1.99078      3.11091
     -4.66000      4.39412      1.71693      2.67719
     -4.65000      4.39555      1.69077      2.70478
     -4.64000      4.30713      1.66296      2.64418
     -4.63000      3.83204      1.48686      2.34518
     -4.62000      3.74826      1.44264      2.30562
     -4.61000      4.25752      1.63536      2.62215
     -4.60000      4.03815      1.53949      2.49866
     -4.59000      3.16148      1.19724      1.96424
     -4.58000      2.45743      0.93516      1.52228
     -4.57000      2.18371      0.79907      1.38464
     -4.56000      1.77574      0.60861      1.16714
     -4.55000      1.26632      0.42062      0.84570
     -4.54000      1.23758      0.40636      0.83121
     -4.53000      1.59621      0.52454      1.07167
     -4.52000      1.83872      0.62426      1.21446
     -4.51000      1.66024      0.57718      1.08306
     -4.50000      1.03666      0.35055      0.68611
     -4.49000      0.65075      0.20098      0.44977
     -4.48000      0.62666      0.19152      0.43513
     -4.47000      0.74815      0.23786      0.51029
     -4.46000      1.11962      0.35303      0.76659
     -4.45000      1.30378      0.40080      0.90297
     -4.44000      0.95725      0.29970      0.65755
     -4.43000      0.70770      0.24291      0.46479
     -4.42000      0.90639      0.31116      0.59522
     -4.41000      0.97140      0.31701      0.65439
     -4.40000      0.71551      0.22701      0.48850
     -4.39000      0.72056      0.23417      0.48639
     -4.38000      0.84731      0.27312      0.57419
     -4.37000      1.04995      0.32687      0.72308
     -4.36000      1.19287      0.37045      0.82242
     -4.35000      0.82137      0.26390      0.55747
     -4.34000      0.65185      0.22487      0.42698
     -4.33000      0.95961      0.33228      0.62733
     -4.32000      1.32073      0.45241      0.86832
     -4.31000      1.15864      0.39146      0.76718
     -4.30000      0.55806      0.18470      0.37336
     -4.29000      0.36625      0.11660      0.24965
     -4.28000      0.58579      0.18072      0.40507
     -4.27000      0.92003      0.27694      0.64309
     -4.26000      1.04818      0.31976      0.72843
     -4.25000      0.86513      0.27978      0.58535
     -4.24000      0.61255      0.20528      0.40727
     -4.23000      0.38165      0.12647      0.25517
     -4.22000      0.58557      0.19154      0.39403
     -4.21000      0.94062      0.30928      0.63134
     -4.20000      0.75570      0.25063      0.50507
     -4.19000      0.37138      0.12344      0.24795
     -4.18000      0.39588      0.12787      0.26801
     -4.17000      0.91826      0.29211      0.62615
     -4.16000      1.34934      0.42277      0.92657
     -4.15000      0.97594      0.30268      0.67326
     -4.14000      0.45420      0.14763      0.30657
     -4.13000      0.38171      0.13362      0.24809
     -4.12000      0.48544      0.16687      0.31857
     -4.11000      0.89012      0.29770      0.59241
     -4.10000      1.11860      0.37366      0.74494
     -4.09000      0.80554      0.27278      0.53276
     -4.08000      0.49633      0.16919      0.32714
     -4.07000      0.33729      0.11270      0.22459
     -4.06000      0.48895      0.15528      0.33366
     -4.05000      1.00583      0.31239      0.69345
     -4.04000      1.06127      0.32643      0.73484
     -4.03000      0.48095      0.14777      0.33318
     -4.02000      0.20512      0.06778      0.13734
     -4.01000      0.45479      0.15596      0.29883
     -4.00000      0.70771      0.23831      0.46939
     -3.99000      0.71932      0.23384      0.48548
     -3.98000      0.65511      0.21094      0.44417
     -3.97000      0.40012      0.13204      0.26808
     -3.96000      0.28386      0.09578      0.18808
     -3.95000      0.38910      0.12892      0.26018
     -3.94000      0.60932      0.19235      0.41697
     -3.93000      1.18010      0.36775      0.81235
     -3.92000      1.38087      0.43562      0.94525
     -3.91000      0.86054      0.27887      0.58166
     -3.90000      0.39424      0.13068      0.26356
     -3.89000      0.36335      0.11499      0.24836
     -3.88000      0.69234      0.22013      0.47221
     -3.87000      1.02422      0.33308      0.69115
     -3.86000      1.52776      0.50035      1.02742
     -3.85000      2.63447      0.87477      1.75971
     -3.84000      4.95079      1.73859      3.21220
     -3.83000      8.29338      3.08419      5.20919
     -3.82000     10.79228      4.08540      6.70688
     -3.81000     10.64910      3.99517      6.65393
     -3.80000      9.45983      3.48786      5.97197
     -3.79000      8.34846      3.05909      5.28937
     -3.78000      7.41105      2.73745      4.67360
     -3.77000      6.91831      2.55814      4.36016
     -3.76000      6.87221      2.52335      4.34886
     -3.75000      7.06103      2.59159      4.46944
     -3.74000      7.16889      2.61709      4.55180
     -3.73000      6.86107      2.49492      4.36615
     -3.72000      6.16940      2.26767      3.90173
     -3.71000      6.02704      2.25694      3.77010
     -3.70000      5.93859      2.25234      3.68625
     -3.69000      5.49097      2.07713      3.41383
     -3.68000      5.14464      1.90327      3.24137
     -3.67000      5.11514      1.84596      3.26919
     -3.66000      5.21874      1.86915      3.34959
     -3.65000      4.45314      1.61407      2.83907
     -3.64000      3.54560      1.32048      2.22512
     -3.63000      3.41319      1.26312      2.15007
     -3.62000      3.37600      1.22215      2.15385
     -3.61000      3.26556      1.16494      2.10061
     -3.60000      3.22945      1.12423      2.10522
     -3.59000      2.78725      0.97618      1.81107
     -3.58000      2.16973      0.80071      1.36901
     -3.57000      2.18239      0.80622      1.37616
     -3.56000      2.41013      0.86209      1.54803
     -3.55000      2.78030      0.97540      1.80491
     -3.54000      2.89927      1.01628      1.88300
     -3.53000      2.22516      0.78210      1.44306
     -3.52000      1.32714      0.49217      0.83497
     -3.51000      0.98863      0.42557      0.56306
     -3.50000      1.03453      0.46035      0.57417
     -3.49000      1.16156      0.50088      0.66069
     -3.48000      1.22591      0.50812      0.71779
     -3.47000      1.05507      0.41141      0.64366
     -3.46000      0.59605      0.22346      0.37259
     -3.45000      0.36375      0.15658      0.20717
     -3.44000      0.53781      0.25048      0.28733
     -3.43000      0.85854      0.36466      0.49388
     -3.42000      1.34690      0.49890      0.84800
     -3.41000      1.70265      0.59941      1.10323
     -3.40000      1.79077      0.65451      1.13626
     -3.39000      1.97811      0.76602      1.21210
     -3.38000      1.91024      0.75309      1.15715
     -3.37000      1.29836      0.51492      0.78344
     -3.36000      0.88788      0.35198      0.53590
     -3.35000      1.06068      0.41062      0.65007
     -3.34000      1.20337      0.43651      0.76685
     -3.33000      0.93167      0.33100      0.60067
     -3.32000      0.62252      0.26331      0.35921
     -3.31000      0.66064      0.30759      0.35306
     -3.30000      1.09464      0.45128      0.64335
     -3.29000      1.81711      0.70780      1.10931
     -3.28000      2.08343      0.81464      1.26880
     -3.27000      1.91445      0.73748      1.17697
     -3.26000      1.52378      0.55461      0.96916
     -3.25000      1.10265      0.40428      0.69837
     -3.24000      0.84350      0.32101      0.52249
     -3.23000      0.88662      0.30780      0.57881
     -3.22000      0.98914      0.33313      0.65601
     -3.21000      0.76971      0.28621      0.48350
     -3.20000      0.81414      0.35988      0.45426
     -3.19000      1.18709      0.50812      0.67897
     -3.18000      1.15285      0.45970      0.69316
     -3.17000      1.41096      0.53066      0.88030
     -3.16000      2.58902      0.92797      1.66105
     -3.15000      3.49643      1.25104      2.24538
     -3.14000      3.32351      1.20524      2.11827
     -3.13000      2.91576      1.04023      1.87553
     -3.12000      2.89642      1.04518      1.85124
     -3.11000      3.51518      1.32085      2.19433
     -3.10000      4.23341      1.58255      2.65087
     -3.09000      3.82247      1.40498      2.41749
     -3.08000      3.04272      1.12858      1.91414
     -3.07000      3.20748      1.18133      2.02615
     -3.06000      3.94503      1.41428      2.53075
     -3.05000      4.22178      1.48115      2.74063
     -3.04000      4.10191      1.41538      2.68653
     -3.03000      4.15823      1.40438      2.75386
     -3.02000      5.32722      1.75227      3.57495
     -3.01000      6.60812      2.19277      4.41535
     -3.00000      6.67134      2.23307      4.43827
     -2.99000      6.23087      2.07177      4.15910
     -2.98000      5.59739      1.85918      3.73821
     -2.97000      4.81042      1.60682      3.20359
     -2.96000      4.45407      1.56125      2.89283
     -2.95000      4.09888      1.44390      2.65498
     -2.94000      3.35682      1.16835      2.18847
