 0.333333333  0.333333333  0.000000000      24
       1      13   -4.759665876   -5.371799266    0.376403065
       1      14   -4.752901219   -5.361419440    0.373848431
       1      15   -3.958702424   -4.681986211    0.343759678
       1      16   -3.923215450   -4.647865474    0.345688050
       1      17   -3.454283222   -4.202036745    0.216407118
       1      18   -3.396842552   -4.145779555    0.208737527
       1      19   -2.924531452   -3.699267818    0.180642448
       1      20   -2.907651728   -3.678225451    0.178632697
       1      21   -2.258880242   -3.118818074    0.084809550
       1      22   -2.208873892   -3.067747862    0.083347955
       1      23   -1.530540826   -2.368613161    0.059501098
       1      24   -1.506963077   -2.348195261    0.058682945
       1      25    0.540503236   -0.025504673    0.011831973
       1      26    0.688534620    0.127376923    0.011090736
       1      27    2.290567613    2.403295791   -0.001413171
       1      28    2.293548019    2.412448513   -0.001491322
       1      29    3.670753654    3.878762499   -0.007452561
       1      30    3.702025057    3.907662561   -0.008182656
       1      31    4.095467928    4.145711384   -0.030689971
       1      32    4.236736247    4.284688777   -0.035288582
       1      33    5.440941585    5.501911844   -0.057741761
       1      34    5.523986327    5.585632527   -0.061769922
       1      35    7.777557075    7.946063615   -0.197923059
       1      36    7.896250043    8.059844113   -0.194146045

