# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      19     0.00000     0.00000     0.00000   -1.137122618   -2.100380980   -0.963258362
     1      19     0.00710     0.01229     0.00000   -1.160555359   -2.103330219   -0.942774860
     1      19     0.01419     0.02458     0.00000   -1.216566875   -2.128254082   -0.911687207
     1      19     0.02129     0.03687     0.00000   -1.287531131   -2.176004931   -0.888473800
     1      19     0.02839     0.04917     0.00000   -1.365482183   -2.234631620   -0.869149437
     1      19     0.03548     0.06146     0.00000   -1.447326402   -2.324174102   -0.876847700
     1      19     0.04258     0.07375     0.00000   -1.531435286   -2.406013892   -0.874578606
     1      19     0.04968     0.08604     0.00000   -1.616625579   -2.485289468   -0.868663889
     1      19     0.05677     0.09833     0.00000   -1.702104726   -2.545455178   -0.843350452
     1      19     0.06387     0.11062     0.00000   -1.786667559   -2.477585696   -0.690918137
     1      19     0.07097     0.12292     0.00000   -1.776897792   -2.427351044   -0.650453251
     1      19     0.07806     0.13521     0.00000   -1.738295257   -2.385971297   -0.647676040
     1      19     0.08516     0.14750     0.00000   -1.697314568   -2.344940628   -0.647626061
     1      19     0.09226     0.15979     0.00000   -1.654868017   -2.302571457   -0.647703439
     1      19     0.09935     0.17208     0.00000   -1.615451215   -2.270126036   -0.654674822
     1      19     0.10645     0.18437     0.00000   -1.673568276   -2.391240855   -0.717672579
     1      19     0.11354     0.19667     0.00000   -1.775448574   -2.489403699   -0.713955124
     1      19     0.12064     0.20896     0.00000   -1.882471413   -2.596873878   -0.714402465
     1      19     0.12774     0.22125     0.00000   -1.990782763   -2.705310961   -0.714528198
     1      19     0.13483     0.23354     0.00000   -2.098449173   -2.812925523   -0.714476350
     1      19     0.14193     0.24583     0.00000   -2.202992019   -2.917387551   -0.714395533
     1      19     0.14903     0.25812     0.00000   -2.301317358   -3.015700672   -0.714383314
     1      19     0.15612     0.27041     0.00000   -2.390023205   -3.104463590   -0.714440385
     1      19     0.16322     0.28271     0.00000   -2.466328823   -3.180807901   -0.714479078
     1      19     0.17032     0.29500     0.00000   -2.529142782   -3.243624154   -0.714481371
     1      19     0.17741     0.30729     0.00000   -2.579176495   -3.293658275   -0.714481780
     1      19     0.18451     0.31958     0.00000   -2.618054280   -3.332600141   -0.714545861
     1      19     0.19161     0.33187     0.00000   -2.647432208   -3.363607813   -0.716175605
     1      19     0.19870     0.34416     0.00000   -2.668631506   -3.390443229   -0.721811723
     1      19     0.20580     0.35646     0.00000   -2.682619000   -3.413447607   -0.730828607
     1      19     0.21290     0.36875     0.00000   -2.690097186   -3.431511226   -0.741414040
     1      19     0.21999     0.38104     0.00000   -2.691596217   -3.443968770   -0.752372553
     1      19     0.22709     0.39333     0.00000   -2.687543669   -3.450526129   -0.762982460
     1      19     0.23419     0.40562     0.00000   -2.678313188   -3.450607533   -0.772294345
     1      19     0.24128     0.41791     0.00000   -2.664258745   -3.442990913   -0.778732168
     1      19     0.24838     0.43021     0.00000   -2.645741798   -3.426908554   -0.781166757
     1      19     0.25548     0.44250     0.00000   -2.623157149   -3.404455985   -0.781298836
     1      19     0.26257     0.45479     0.00000   -2.596974360   -3.378253024   -0.781278664
     1      19     0.26967     0.46708     0.00000   -2.567869283   -3.349203045   -0.781333762
     1      19     0.27677     0.47937     0.00000   -2.550583777   -3.325261199   -0.774677423
     1      19     0.28386     0.49166     0.00000   -2.605581302   -3.376655494   -0.771074192
     1      19     0.29096     0.50395     0.00000   -2.676541663   -3.445778282   -0.769236619
     1      19     0.29805     0.51625     0.00000   -2.740197541   -3.508643725   -0.768446184
     1      19     0.30515     0.52854     0.00000   -2.791358229   -3.559467144   -0.768108915
     1      19     0.31225     0.54083     0.00000   -2.829871789   -3.597956980   -0.768085190
     1      19     0.31934     0.55312     0.00000   -2.859684764   -3.631294378   -0.771609614
     1      19     0.32644     0.56541     0.00000   -2.887266242   -3.660536241   -0.773270000
     1      19     0.33354     0.57770     0.00000   -2.906916187   -3.681367080   -0.774450893
     1      19     0.34063     0.59000     0.00000   -2.919548076   -3.694270184   -0.774722108
     1      19     0.34773     0.60229     0.00000   -2.924519359   -3.699255690   -0.774736331
     1      19     0.35374     0.59191     0.00000   -2.920255299   -3.694978909   -0.774723610
     1      19     0.35976     0.58154     0.00000   -2.905821550   -3.680500436   -0.774678885
     1      19     0.36577     0.57117     0.00000   -2.877503109   -3.652059330   -0.774556221
     1      19     0.37178     0.56079     0.00000   -2.835312729   -3.605496078   -0.770183349
     1      19     0.37780     0.55042     0.00000   -2.782504647   -3.552286146   -0.769781498
     1      19     0.38381     0.54004     0.00000   -2.712823158   -3.482208858   -0.769385700
     1      19     0.38982     0.52967     0.00000   -2.628694771   -3.398249682   -0.769554912
