# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      19     0.00000     0.00000     0.00000   -1.137122618   -2.731839094   -1.594716476
     1      19     0.00710     0.01229     0.00000   -1.160555359   -2.725558173   -1.565002815
     1      19     0.01419     0.02458     0.00000   -1.216566875   -2.736271138   -1.519704263
     1      19     0.02129     0.03687     0.00000   -1.287531131   -2.772573443   -1.485042311
     1      19     0.02839     0.04917     0.00000   -1.365482183   -2.822036389   -1.456554206
     1      19     0.03548     0.06146     0.00000   -1.447326402   -2.906111269   -1.458784866
     1      19     0.04258     0.07375     0.00000   -1.531435286   -2.983555319   -1.452120032
     1      19     0.04968     0.08604     0.00000   -1.616625579   -3.059503506   -1.442877928
     1      19     0.05677     0.09833     0.00000   -1.702104726   -3.115698081   -1.413593355
     1      19     0.06387     0.11062     0.00000   -1.786667559   -3.032503152   -1.245835593
     1      19     0.07097     0.12292     0.00000   -1.776897792   -2.977905658   -1.201007866
     1      19     0.07806     0.13521     0.00000   -1.738295257   -2.936346781   -1.198051524
     1      19     0.08516     0.14750     0.00000   -1.697314568   -2.895334582   -1.198020015
     1      19     0.09226     0.15979     0.00000   -1.654868017   -2.852975044   -1.198107027
     1      19     0.09935     0.17208     0.00000   -1.615451215   -2.822066171   -1.206614956
     1      19     0.10645     0.18437     0.00000   -1.673568276   -2.961985088   -1.288416812
     1      19     0.11354     0.19667     0.00000   -1.775448574   -3.068534383   -1.293085809
     1      19     0.12064     0.20896     0.00000   -1.882471413   -3.193921072   -1.311449659
     1      19     0.12774     0.22125     0.00000   -1.990782763   -3.322674211   -1.331891448
     1      19     0.13483     0.23354     0.00000   -2.098449173   -3.451122675   -1.352673501
     1      19     0.14193     0.24583     0.00000   -2.202992019   -3.575602422   -1.372610403
     1      19     0.14903     0.25812     0.00000   -2.301317358   -3.690992000   -1.389674642
     1      19     0.15612     0.27041     0.00000   -2.390023205   -3.790596515   -1.400573310
     1      19     0.16322     0.28271     0.00000   -2.466328823   -3.870217342   -1.403888519
     1      19     0.17032     0.29500     0.00000   -2.529142782   -3.933162144   -1.404019362
     1      19     0.17741     0.30729     0.00000   -2.579176495   -3.983196111   -1.404019616
     1      19     0.18451     0.31958     0.00000   -2.618054280   -4.022169012   -1.404114731
     1      19     0.19161     0.33187     0.00000   -2.647432208   -4.054255415   -1.406823207
     1      19     0.19870     0.34416     0.00000   -2.668631506   -4.084908538   -1.416277032
     1      19     0.20580     0.35646     0.00000   -2.682619000   -4.114096143   -1.431477143
     1      19     0.21290     0.36875     0.00000   -2.690097186   -4.139516347   -1.449419161
     1      19     0.21999     0.38104     0.00000   -2.691596217   -4.159717052   -1.468120835
     1      19     0.22709     0.39333     0.00000   -2.687543669   -4.173927405   -1.486383736
