# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      39     0.00000     0.00000     0.00000    0.286664174   -0.883246557   -1.169910731
     1      39     0.00681     0.01179     0.00000    0.278646777   -0.885993258   -1.164640036
     1      39     0.01361     0.02358     0.00000    0.255687980   -0.894230076   -1.149918056
     1      39     0.02042     0.03537     0.00000    0.220793947   -0.902173756   -1.122967703
     1      39     0.02723     0.04716     0.00000    0.177682425   -0.907070465   -1.084752890
     1      39     0.03403     0.05895     0.00000    0.129925761   -0.890376177   -1.020301939
     1      39     0.04084     0.07074     0.00000    0.085534044   -0.853532725   -0.939066768
     1      39     0.04765     0.08252     0.00000    0.061213765   -0.805725365   -0.866939130
     1      39     0.05445     0.09431     0.00000    0.065331391   -0.744871839   -0.810203230
     1      39     0.06126     0.10610     0.00000    0.084801720   -0.680422485   -0.765224205
     1      39     0.06807     0.11789     0.00000    0.111165743   -0.628519984   -0.739685726
     1      39     0.07487     0.12968     0.00000    0.141397001   -0.592701457   -0.734098458
     1      39     0.08168     0.14147     0.00000    0.174070593   -0.559926708   -0.733997301
     1      39     0.08848     0.15326     0.00000    0.208143958   -0.525934353   -0.734078311
     1      39     0.09529     0.16505     0.00000    0.168378425   -0.704623656   -0.873002080
     1      39     0.10210     0.17684     0.00000    0.069041312   -0.804547072   -0.873588385
     1      39     0.10890     0.18863     0.00000   -0.033809452   -0.908322300   -0.874512849
     1      39     0.11571     0.20042     0.00000   -0.138764066   -1.014410038   -0.875645972
     1      39     0.12252     0.21221     0.00000   -0.244157133   -1.121001544   -0.876844411
     1      39     0.12932     0.22399     0.00000   -0.348011933   -1.226116774   -0.878104841
     1      39     0.13613     0.23578     0.00000   -0.448055235   -1.327463183   -0.879407948
     1      39     0.14294     0.24757     0.00000   -0.541863970   -1.422453560   -0.880589589
     1      39     0.14974     0.25936     0.00000   -0.627219130   -1.508562904   -0.881343774
     1      39     0.15655     0.27115     0.00000   -0.702590000   -1.584142933   -0.881552934
     1      39     0.16336     0.28294     0.00000   -0.781398744   -1.638513740   -0.857114996
     1      39     0.17016     0.29473     0.00000   -0.854685328   -1.711801217   -0.857115889
     1      39     0.17697     0.30652     0.00000   -0.915536895   -1.772780973   -0.857244078
     1      39     0.18378     0.31831     0.00000   -0.964967630   -1.825441881   -0.860474251
     1      39     0.19058     0.33010     0.00000   -1.004462757   -1.876081344   -0.871618587
     1      39     0.19739     0.34189     0.00000   -1.035453354   -1.924863058   -0.889409704
     1      39     0.20420     0.35368     0.00000   -1.059107383   -1.969347291   -0.910239909
     1      39     0.21100     0.36547     0.00000   -1.076324036   -2.008060743   -0.931736707
     1      39     0.21781     0.37725     0.00000   -1.087803601   -2.040287300   -0.952483700
     1      39     0.22461     0.38904     0.00000   -1.094124525   -2.064767936   -0.970643411
     1      39     0.23142     0.40083     0.00000   -1.095805838   -2.078978163   -0.983172325
     1      39     0.23823     0.41262     0.00000   -1.093347517   -2.081245021   -0.987897504
     1      39     0.24503     0.42441     0.00000   -1.087251722   -2.075395448   -0.988143727
     1      39     0.25184     0.43620     0.00000   -1.078029614   -2.066131137   -0.988101523
     1      39     0.25865     0.44799     0.00000   -1.066209618   -2.054454519   -0.988244901
     1      39     0.26545     0.45978     0.00000   -1.052396758   -2.042505322   -0.990108564
     1      39     0.27226     0.47157     0.00000   -1.039224237   -2.034630172   -0.995405935
     1      39     0.27907     0.48336     0.00000   -1.111661195   -2.087175602   -0.975514408
     1      39     0.28587     0.49515     0.00000   -1.187635646   -2.174162162   -0.986526517
     1      39     0.29268     0.50694     0.00000   -1.243226047   -2.241581530   -0.998355483
     1      39     0.29949     0.51873     0.00000   -1.278362243   -2.288613649   -1.010251405
     1      39     0.30629     0.53051     0.00000   -1.299552803   -2.321324077   -1.021771274
     1      39     0.31310     0.54230     0.00000   -1.312885534   -2.344265008   -1.031379473
     1      39     0.31991     0.55409     0.00000   -1.321638805   -2.358142531   -1.036503726
     1      39     0.32671     0.56588     0.00000   -1.327081798   -2.364445224   -1.037363426
     1      39     0.33352     0.57767     0.00000   -1.329214760   -2.366603208   -1.037388448
     1      39     0.33929     0.56772     0.00000   -1.327339418   -2.364706417   -1.037366998
     1      39     0.34505     0.55777     0.00000   -1.320760166   -2.358052954   -1.037292788
     1      39     0.35082     0.54782     0.00000   -1.306946351   -2.343982898   -1.037036547
     1      39     0.35659     0.53787     0.00000   -1.282077785   -2.318171075   -1.036093290
     1      39     0.36236     0.52792     0.00000   -1.241595092   -2.275570815   -1.033975723
     1      39     0.36812     0.51797     0.00000   -1.182511557   -2.213509021   -1.030997464
     1      39     0.37389     0.50802     0.00000   -1.106671317   -2.136977008   -1.030305691
     1      39     0.37966     0.49807     0.00000   -1.026769889   -2.076580297   -1.049810407
     1      39     0.38543     0.48812     0.00000   -0.984914757   -2.059119785   -1.074205028
     1      39     0.39119     0.47817     0.00000   -0.974270384   -2.041785041   -1.067514657
     1      39     0.39696     0.46822     0.00000   -0.967742344   -2.023734412   -1.055992069
     1      39     0.40273     0.45827     0.00000   -0.960279533   -2.004227727   -1.043948194
     1      39     0.40850     0.44832     0.00000   -0.950747816   -1.983829037   -1.033081220
     1      39     0.41426     0.43837     0.00000   -0.938809082   -1.963765225   -1.024956143
     1      39     0.42003     0.42842     0.00000   -0.924416553   -1.944874998   -1.020458445
     1      39     0.42580     0.41847     0.00000   -0.907690517   -1.926507712   -1.018817195
     1      39     0.43157     0.40852     0.00000   -0.888872991   -1.906957517   -1.018084525
     1      39     0.43734     0.39857     0.00000   -0.868306419   -1.885599105   -1.017292686
     1      39     0.44310     0.38862     0.00000   -0.846417542   -1.870232537   -1.023814995
     1      39     0.44887     0.37867     0.00000   -0.823704305   -1.847913214   -1.024208909
     1      39     0.45464     0.36872     0.00000   -0.800720695   -1.817453208   -1.016732513
     1      39     0.46041     0.35877     0.00000   -0.778061679   -1.791399612   -1.013337933
     1      39     0.46617     0.34882     0.00000   -0.756345737   -1.765916444   -1.009570707
     1      39     0.47194     0.33887     0.00000   -0.736192350   -1.740553275   -1.004360926
     1      39     0.47771     0.32892     0.00000   -0.718196980   -1.714604599   -0.996407618
     1      39     0.48348     0.31897     0.00000   -0.702901935   -1.687349735   -0.984447800
     1      39     0.48924     0.30902     0.00000   -0.690763942   -1.659481045   -0.968717102
     1      39     0.49501     0.29907     0.00000   -0.682121939   -1.633727520   -0.951605580
     1      39     0.50078     0.28912     0.00000   -0.677171426   -1.631038378   -0.953866952
     1      39     0.49056     0.28322     0.00000   -0.675975656   -1.635439296   -0.959463639
     1      39     0.48034     0.27732     0.00000   -0.672389856   -1.634129251   -0.961739395
     1      39     0.47012     0.27142     0.00000   -0.666419339   -1.630848985   -0.964429646
     1      39     0.45990     0.26552     0.00000   -0.658073234   -1.624665283   -0.966592049
     1      39     0.44968     0.25962     0.00000   -0.647364093   -1.615353387   -0.967989294
     1      39     0.43946     0.25372     0.00000   -0.634308420   -1.606226449   -0.971918029
     1      39     0.42924     0.24782     0.00000   -0.618926267   -1.595128672   -0.976202406
     1      39     0.41902     0.24192     0.00000   -0.601242115   -1.576463506   -0.975221392
     1      39     0.40880     0.23602     0.00000   -0.581284295   -1.551226875   -0.969942580
     1      39     0.39858     0.23012     0.00000   -0.559085460   -1.530303004   -0.971217544
     1      39     0.38836     0.22422     0.00000   -0.534682890   -1.506788913   -0.972106023
     1      39     0.37814     0.21832     0.00000   -0.508118458   -1.482190998   -0.974072540
     1      39     0.36792     0.21242     0.00000   -0.479439070   -1.445020003   -0.965580934
     1      39     0.35770     0.20652     0.00000   -0.448696931   -1.413469476   -0.964772545
     1      39     0.34748     0.20062     0.00000   -0.415949559   -1.379786945   -0.963837386
     1      39     0.33726     0.19472     0.00000   -0.381260470   -1.343174502   -0.961914032
     1      39     0.32704     0.18882     0.00000   -0.344699388   -1.309785680   -0.965086292
     1      39     0.31682     0.18292     0.00000   -0.306342243   -1.259245782   -0.952903539
     1      39     0.30660     0.17702     0.00000   -0.266272380   -1.212766854   -0.946494475
     1      39     0.29638     0.17111     0.00000   -0.224580308   -1.168604861   -0.944024553
     1      39     0.28616     0.16521     0.00000   -0.181364876   -1.114924461   -0.933559585
     1      39     0.27594     0.15931     0.00000   -0.136734074   -1.067738199   -0.931004126
     1      39     0.26572     0.15341     0.00000   -0.090805433   -1.015508321   -0.924702888
     1      39     0.25550     0.14751     0.00000   -0.043707343   -0.966461987   -0.922754644
     1      39     0.24528     0.14161     0.00000    0.004418194   -0.917572094   -0.921990289
     1      39     0.23506     0.13571     0.00000    0.053415120   -0.867615936   -0.921031056
     1      39     0.22484     0.12981     0.00000    0.103107381   -0.816169807   -0.919277188
     1      39     0.21462     0.12391     0.00000    0.153289194   -0.764520042   -0.917809236
     1      39     0.20440     0.11801     0.00000    0.203693260   -0.712042611   -0.915735871
     1      39     0.19418     0.11211     0.00000    0.253843740   -0.658071105   -0.911914844
     1      39     0.18396     0.10621     0.00000    0.301551824   -0.594407575   -0.895959399
     1      39     0.17374     0.10031     0.00000    0.308991293   -0.440670121   -0.749661414
     1      39     0.16352     0.09441     0.00000    0.273985899   -0.461968968   -0.735954868
     1      39     0.15330     0.08851     0.00000    0.237934724   -0.496950831   -0.734885554
     1      39     0.14308     0.08261     0.00000    0.203388134   -0.531462295   -0.734850429
     1      39     0.13286     0.07671     0.00000    0.170947837   -0.564331990   -0.735279826
     1      39     0.12264     0.07081     0.00000    0.141088716   -0.595224003   -0.736312720
     1      39     0.11242     0.06491     0.00000    0.114441957   -0.624047142   -0.738489099
     1      39     0.10220     0.05901     0.00000    0.092129510   -0.650930339   -0.743059849
     1      39     0.09198     0.05310     0.00000    0.076576502   -0.676227504   -0.752804007
     1      39     0.08176     0.04720     0.00000    0.073209058   -0.697295341   -0.770504399
     1      39     0.07154     0.04130     0.00000    0.089301208   -0.706340702   -0.795641910
     1      39     0.06132     0.03540     0.00000    0.122535981   -0.731412866   -0.853948847
     1      39     0.05110     0.02950     0.00000    0.162352063   -0.745174776   -0.907526839
     1      39     0.04088     0.02360     0.00000    0.201507925   -0.732038240   -0.933546164
     1      39     0.03066     0.01770     0.00000    0.236049687   -0.747788463   -0.983838151
     1      39     0.02044     0.01180     0.00000    0.263195866   -0.856827653   -1.120023519
     1      39     0.01022     0.00590     0.00000    0.280635197   -0.884928393   -1.165563590
     1      39     0.00000     0.00000     0.00000    0.286664174   -0.883246557   -1.169910731
     1      40     0.00000     0.00000     0.00000    0.286664174   -0.883246557   -1.169910731
     1      40     0.00681     0.01179     0.00000    0.278685975   -0.886058623   -1.164744598
     1      40     0.01361     0.02358     0.00000    0.255907541   -0.894665905   -1.150573446
     1      40     0.02042     0.03537     0.00000    0.221089633   -0.904775366   -1.125864999
     1      40     0.02723     0.04716     0.00000    0.178254865   -0.897562133   -1.075816999
     1      40     0.03403     0.05895     0.00000    0.134049433   -0.873064621   -1.007114054
     1      40     0.04084     0.07074     0.00000    0.098271364   -0.833260043   -0.931531407
     1      40     0.04765     0.08252     0.00000    0.083680835   -0.781808408   -0.865489243
     1      40     0.05445     0.09431     0.00000    0.090904881   -0.719028683   -0.809933563
     1      40     0.06126     0.10610     0.00000    0.111058554   -0.654850269   -0.765908823
     1      40     0.06807     0.11789     0.00000    0.138357544   -0.602841130   -0.741198673
     1      40     0.07487     0.12968     0.00000    0.170147129   -0.565674435   -0.735821564
     1      40     0.08168     0.14147     0.00000    0.205005404   -0.530730336   -0.735735740
     1      40     0.08848     0.15326     0.00000    0.241870340   -0.493898661   -0.735769001
     1      40     0.09529     0.16505     0.00000    0.242939520   -0.491670186   -0.734609706
     1      40     0.10210     0.17684     0.00000    0.173205215   -0.657308367   -0.830513582
     1      40     0.10890     0.18863     0.00000    0.066659125   -0.768040091   -0.834699216
     1      40     0.11571     0.20042     0.00000   -0.043912354   -0.883122192   -0.839209838
     1      40     0.12252     0.21221     0.00000   -0.157061340   -1.000543400   -0.843482060
     1      40     0.12932     0.22399     0.00000   -0.271195100   -1.118613483   -0.847418383
     1      40     0.13613     0.23578     0.00000   -0.384471943   -1.235537345   -0.851065402
     1      40     0.14294     0.24757     0.00000   -0.494721086   -1.348968143   -0.854247057
     1      40     0.14974     0.25936     0.00000   -0.599412055   -1.455801767   -0.856389712
     1      40     0.15655     0.27115     0.00000   -0.695800434   -1.552885838   -0.857085405
     1      40     0.16336     0.28294     0.00000   -0.767452326   -1.649003823   -0.881551497
     1      40     0.17016     0.29473     0.00000   -0.822192278   -1.703744589   -0.881552311
     1      40     0.17697     0.30652     0.00000   -0.867708217   -1.749379453   -0.881671236
     1      40     0.18378     0.31831     0.00000   -0.905017966   -1.789117247   -0.884099281
     1      40     0.19058     0.33010     0.00000   -0.935037139   -1.827397899   -0.892360760
     1      40     0.19739     0.34189     0.00000   -0.958512273   -1.864013082   -0.905500809
     1      40     0.20420     0.35368     0.00000   -0.976032843   -1.896882903   -0.920850059
     1      40     0.21100     0.36547     0.00000   -0.988067270   -1.924715470   -0.936648201
     1      40     0.21781     0.37725     0.00000   -0.995001529   -1.946834631   -0.951833102
     1      40     0.22461     0.38904     0.00000   -0.997170634   -1.962209903   -0.965039269
     1      40     0.23142     0.40083     0.00000   -0.994884551   -1.968944274   -0.974059723
     1      40     0.23823     0.41262     0.00000   -0.988451417   -1.965847430   -0.977396013
     1      40     0.24503     0.42441     0.00000   -0.978211285   -1.955746346   -0.977535061
     1      40     0.25184     0.43620     0.00000   -0.964621198   -1.942119898   -0.977498700
     1      40     0.25865     0.44799     0.00000   -0.948748402   -1.926215081   -0.977466679
     1      40     0.26545     0.45978     0.00000   -0.946095735   -1.914333279   -0.968237544
     1      40     0.27226     0.47157     0.00000   -1.019834363   -1.981331778   -0.961497415
     1      40     0.27907     0.48336     0.00000   -1.095876142   -2.062967518   -0.967091376
     1      40     0.28587     0.49515     0.00000   -1.159101863   -2.133943948   -0.974842084
     1      40     0.29268     0.50694     0.00000   -1.206000484   -2.189250594   -0.983250110
     1      40     0.29949     0.51873     0.00000   -1.237790606   -2.229711987   -0.991921381
     1      40     0.30629     0.53051     0.00000   -1.258717342   -2.259382099   -1.000664757
     1      40     0.31310     0.54230     0.00000   -1.272720199   -2.281114394   -1.008394195
     1      40     0.31991     0.55409     0.00000   -1.282170239   -2.295003887   -1.012833648
     1      40     0.32671     0.56588     0.00000   -1.288065956   -2.301692735   -1.013626780
     1      40     0.33352     0.57767     0.00000   -1.290354775   -2.303994071   -1.013639296
     1      40     0.33929     0.56772     0.00000   -1.288392474   -2.302020383   -1.013627909
     1      40     0.34505     0.55777     0.00000   -1.281647277   -2.295232788   -1.013585511
     1      40     0.35082     0.54782     0.00000   -1.267853909   -2.281241533   -1.013387624
     1      40     0.35659     0.53787     0.00000   -1.243744775   -2.256311878   -1.012567103
     1      40     0.36236     0.52792     0.00000   -1.205499922   -2.216158827   -1.010658905
     1      40     0.36812     0.51797     0.00000   -1.150244427   -2.157827615   -1.007583188
     1      40     0.37389     0.50802     0.00000   -1.077787397   -2.081536979   -1.003749582
     1      40     0.37966     0.49807     0.00000   -0.990947831   -1.991853980   -1.000906149
     1      40     0.38543     0.48812     0.00000   -0.896657455   -1.908418518   -1.011761063
     1      40     0.39119     0.47817     0.00000   -0.836839345   -1.897110118   -1.060270772
     1      40     0.39696     0.46822     0.00000   -0.831256048   -1.885923543   -1.054667495
     1      40     0.40273     0.45827     0.00000   -0.830814799   -1.874175766   -1.043360967
