# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      39     0.00000     0.00000     0.00000    0.286664174   -1.671365910   -1.958030084
     1      39     0.00681     0.01179     0.00000    0.278646777   -1.672969234   -1.951616011
     1      39     0.01361     0.02358     0.00000    0.255687980   -1.677846474   -1.933534454
     1      39     0.02042     0.03537     0.00000    0.220793947   -1.680591882   -1.901385828
     1      39     0.02723     0.04716     0.00000    0.177682425   -1.679614387   -1.857296812
     1      39     0.03403     0.05895     0.00000    0.129925761   -1.665526609   -1.795452371
     1      39     0.04084     0.07074     0.00000    0.085534044   -1.639401295   -1.724935338
     1      39     0.04765     0.08252     0.00000    0.061213765   -1.602966198   -1.664179963
     1      39     0.05445     0.09431     0.00000    0.065331391   -1.550488605   -1.615819997
     1      39     0.06126     0.10610     0.00000    0.084801720   -1.491879435   -1.576681155
     1      39     0.06807     0.11789     0.00000    0.111165743   -1.443041220   -1.554206962
     1      39     0.07487     0.12968     0.00000    0.141397001   -1.407939118   -1.549336118
     1      39     0.08168     0.14147     0.00000    0.174070593   -1.375227846   -1.549298439
     1      39     0.08848     0.15326     0.00000    0.208143958   -1.341180322   -1.549324280
     1      39     0.09529     0.16505     0.00000    0.168378425   -1.461817488   -1.630195913
     1      39     0.10210     0.17684     0.00000    0.069041312   -1.565945309   -1.634986622
     1      39     0.10890     0.18863     0.00000   -0.033809452   -1.681170626   -1.647361174
     1      39     0.11571     0.20042     0.00000   -0.138764066   -1.803893029   -1.665128963
     1      39     0.12252     0.21221     0.00000   -0.244157133   -1.929361073   -1.685203940
     1      39     0.12932     0.22399     0.00000   -0.348011933   -2.053830181   -1.705818248
     1      39     0.13613     0.23578     0.00000   -0.448055235   -2.173763489   -1.725708253
     1      39     0.14294     0.24757     0.00000   -0.541863970   -2.284605931   -1.742741960
     1      39     0.14974     0.25936     0.00000   -0.627219130   -2.380786703   -1.753567572
     1      39     0.15655     0.27115     0.00000   -0.702590000   -2.459423731   -1.756833731
     1      39     0.16336     0.28294     0.00000   -0.781398744   -2.506089256   -1.724690511
     1      39     0.17016     0.29473     0.00000   -0.854685328   -2.579376286   -1.724690958
     1      39     0.17697     0.30652     0.00000   -0.915536895   -2.640354034   -1.724817140
     1      39     0.18378     0.31831     0.00000   -0.964967630   -2.693298755   -1.728331126
     1      39     0.19058     0.33010     0.00000   -1.004462757   -2.745023688   -1.740560931
     1      39     0.19739     0.34189     0.00000   -1.035453354   -2.795630603   -1.760177249
     1      39     0.20420     0.35368     0.00000   -1.059107383   -2.842376174   -1.783268791
     1      39     0.21100     0.36547     0.00000   -1.076324036   -2.883593798   -1.807269762
     1      39     0.21781     0.37725     0.00000   -1.087803601   -2.918456576   -1.830652976
     1      39     0.22461     0.38904     0.00000   -1.094124525   -2.945500258   -1.851375733
     1      39     0.23142     0.40083     0.00000   -1.095805838   -2.961732530   -1.865926692
     1      39     0.23823     0.41262     0.00000   -1.093347517   -2.964967461   -1.871619945
     1      39     0.24503     0.42441     0.00000   -1.087251722   -2.959316936   -1.872065214
     1      39     0.25184     0.43620     0.00000   -1.078029614   -2.950084222   -1.872054608
     1      39     0.25865     0.44799     0.00000   -1.066209618   -2.938305077   -1.872095459
     1      39     0.26545     0.45978     0.00000   -1.052396758   -2.925457770   -1.873061012
     1      39     0.27226     0.47157     0.00000   -1.039224237   -2.906811712   -1.867587475
     1      39     0.27907     0.48336     0.00000   -1.111661195   -2.909852978   -1.798191783
     1      39     0.28587     0.49515     0.00000   -1.187635646   -3.010610373   -1.822974727
     1      39     0.29268     0.50694     0.00000   -1.243226047   -3.093113727   -1.849887680
     1      39     0.29949     0.51873     0.00000   -1.278362243   -3.155246353   -1.876884110
     1      39     0.30629     0.53051     0.00000   -1.299552803   -3.202100829   -1.902548025
     1      39     0.31310     0.54230     0.00000   -1.312885534   -3.236269510   -1.923383975
