0.333333333  0.333333333  0.000000000      30
       1      31  -10.019986961  -11.329947845    0.888623197
       1      32  -10.017376783  -11.325836557    0.879135443
       1      33   -2.967903697   -3.795844803    0.457461924
       1      34   -2.845173718   -3.651385951    0.444439312
       1      35   -2.486904083   -3.428324453    0.415860318
       1      36   -2.323535488   -3.252953697    0.407587181
       1      37   -1.908038232   -2.892089157    0.306254107
       1      38   -1.821608751   -2.783615643    0.296423257
       1      39   -1.329219990   -2.366608497    0.239965338
       1      40   -1.290360323   -2.303999649    0.235427514
       1      41   -0.929988183   -2.048985991    0.189350791
       1      42   -0.734270419   -1.854982254    0.172269768
       1      43   -0.037226008   -1.093121053    0.107029271
       1      44   -0.010525503   -1.069977508    0.104663075
       1      45    1.982317331    1.383910714    0.016332953
       1      46    2.167667762    1.570545393    0.015262797
       1      47    3.510794339    3.546931024   -0.000542465
       1      48    3.531718986    3.573860760   -0.000687064
       1      49    4.652228703    4.729470454   -0.004046912
       1      50    4.666208554    4.739028561   -0.004007305
       1      51    5.038518909    4.926580840   -0.024039542
       1      52    5.184079600    5.079247620   -0.029786130
       1      53    6.351313252    6.163256155   -0.037239415
       1      54    6.427134247    6.242671687   -0.041161662
       1      55    8.562032646    8.717975227   -0.199902516
       1      56    8.656329803    8.808030995   -0.195708908
       1      57    8.880172163    9.086919024   -0.147422120
       1      58    8.900967466    9.105757309   -0.146883961
       1      59   10.998731655   11.071128664   -0.116066075
       1      60   11.022932090   11.095588393   -0.117320354

