# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      19     0.00000     0.00000     0.00000   -2.209347053   -3.237695967   -1.028348914
     1      19     0.00709     0.01228     0.00000   -2.221883284   -3.243270715   -1.021387431
     1      19     0.01418     0.02457     0.00000   -2.256940692   -3.261561750   -1.004621058
     1      19     0.02128     0.03685     0.00000   -2.308916719   -3.293886914   -0.984970194
     1      19     0.02837     0.04914     0.00000   -2.372561430   -3.340918757   -0.968357328
     1      19     0.03546     0.06142     0.00000   -2.444115165   -3.401137119   -0.957021954
     1      19     0.04255     0.07371     0.00000   -2.521033997   -3.470802735   -0.949768738
     1      19     0.04965     0.08599     0.00000   -2.601540467   -3.544594802   -0.943054336
     1      19     0.05674     0.09827     0.00000   -2.684288996   -3.606304499   -0.922015503
     1      19     0.06383     0.11056     0.00000   -2.764857941   -3.505202532   -0.740344591
     1      19     0.07092     0.12284     0.00000   -2.741971463   -3.463867040   -0.721895577
     1      19     0.07802     0.13513     0.00000   -2.710505671   -3.431082930   -0.720577259
     1      19     0.08511     0.14741     0.00000   -2.676861829   -3.397378458   -0.720516628
     1      19     0.09220     0.15970     0.00000   -2.642547900   -3.363156573   -0.720608673
     1      19     0.09929     0.17198     0.00000   -2.610851785   -3.333429913   -0.722578128
     1      19     0.10639     0.18426     0.00000   -2.617589976   -3.389617630   -0.772027654
     1      19     0.11348     0.19655     0.00000   -2.730620959   -3.506800494   -0.776179536
     1      19     0.12057     0.20883     0.00000   -2.847770312   -3.626951006   -0.779180695
     1      19     0.12766     0.22112     0.00000   -2.966171777   -3.747920573   -0.781748796
     1      19     0.13475     0.23340     0.00000   -3.083349158   -3.867426312   -0.784077154
     1      19     0.14185     0.24569     0.00000   -3.196241380   -3.982526420   -0.786285040
     1      19     0.14894     0.25797     0.00000   -3.300973253   -4.089260830   -0.788287577
     1      19     0.15603     0.27026     0.00000   -3.393405734   -4.183092647   -0.789686913
     1      19     0.16312     0.28254     0.00000   -3.470768733   -4.260918707   -0.790149974
     1      19     0.17022     0.29482     0.00000   -3.533004243   -4.323170860   -0.790166617
     1      19     0.17731     0.30711     0.00000   -3.582088089   -4.372255290   -0.790167201
     1      19     0.18440     0.31939     0.00000   -3.620396365   -4.410647469   -0.790251104
     1      19     0.19149     0.33168     0.00000   -3.649822624   -4.441962847   -0.792140223
     1      19     0.19859     0.34396     0.00000   -3.671675761   -4.470295480   -0.798619719
     1      19     0.20568     0.35625     0.00000   -3.686837593   -4.495797635   -0.808960042
     1      19     0.21277     0.36853     0.00000   -3.695928542   -4.517010054   -0.821081512
     1      19     0.21986     0.38081     0.00000   -3.699422571   -4.533038469   -0.833615898
     1      19     0.22696     0.39310     0.00000   -3.704215127   -4.535264909   -0.831049781
     1      19     0.23405     0.40538     0.00000   -3.709865880   -4.548304616   -0.838438736
     1      19     0.24114     0.41767     0.00000   -3.714169654   -4.557127252   -0.842957598
     1      19     0.24823     0.42995     0.00000   -3.719804678   -4.563675641   -0.843870964
     1      19     0.25532     0.44224     0.00000   -3.730742885   -4.573797455   -0.843054570
     1      19     0.26242     0.45452     0.00000   -3.751646696   -4.594420687   -0.842773991
     1      19     0.26951     0.46680     0.00000   -3.784443961   -4.627941344   -0.843497383
     1      19     0.27660     0.47909     0.00000   -3.824413357   -4.669664539   -0.845251182
     1      19     0.28369     0.49137     0.00000   -3.862507310   -4.710052042   -0.847544733
     1      19     0.29079     0.50366     0.00000   -3.891891823   -4.740845673   -0.848953850
     1      19     0.29788     0.51594     0.00000   -3.911326745   -4.760852472   -0.849525727
     1      19     0.30497     0.52823     0.00000   -3.923286489   -4.773111282   -0.849824793
     1      19     0.31206     0.54051     0.00000   -3.930735288   -4.781145572   -0.850410284
     1      19     0.31916     0.55279     0.00000   -3.969166423   -4.831552575   -0.862386152
     1      19     0.32625     0.56508     0.00000   -4.005506614   -4.871386465   -0.865879850
     1      19     0.33334     0.57736     0.00000   -4.031292121   -4.899267151   -0.867975030
     1      19     0.34043     0.58965     0.00000   -4.047451262   -4.915826756   -0.868375494
     1      19     0.34753     0.60193     0.00000   -4.053624092   -4.922007403   -0.868383311
     1      19     0.35354     0.59156     0.00000   -4.048560427   -4.916935555   -0.868375128
     1      19     0.35955     0.58120     0.00000   -4.031931270   -4.900275196   -0.868343926
     1      19     0.36556     0.57083     0.00000   -4.000519116   -4.868742979   -0.868223863
     1      19     0.37156     0.56046     0.00000   -3.951880132   -4.819667984   -0.867787853
     1      19     0.37757     0.55009     0.00000   -3.905796527   -4.760050654   -0.854254128
     1      19     0.38358     0.53973     0.00000   -3.878262126   -4.731769848   -0.853507722
     1      19     0.38959     0.52936     0.00000   -3.839273982   -4.692518259   -0.853244277
     1      19     0.39560     0.51899     0.00000   -3.788581220   -4.643059793   -0.854478573
     1      19     0.40161     0.50862     0.00000   -3.729378793   -4.587887351   -0.858508558
     1      19     0.40762     0.49825     0.00000   -3.669374506   -4.535126645   -0.865752139
     1      19     0.41363     0.48789     0.00000   -3.619571790   -4.492314608   -0.872742818
     1      19     0.41964     0.47752     0.00000   -3.587394803   -4.462415398   -0.875020595
     1      19     0.42565     0.46715     0.00000   -3.570683297   -4.444207163   -0.873523866
     1      19     0.43166     0.45678     0.00000   -3.562966682   -4.434353403   -0.871386721
