# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      19     0.00000     0.00000     0.00000   -2.209347053   -3.863838264   -1.654491211
     1      19     0.00709     0.01228     0.00000   -2.221883284   -3.866225442   -1.644342158
     1      19     0.01418     0.02457     0.00000   -2.256940692   -3.876673425   -1.619732733
     1      19     0.02128     0.03685     0.00000   -2.308916719   -3.898730307   -1.589813588
     1      19     0.02837     0.04914     0.00000   -2.372561430   -3.935488430   -1.562927000
     1      19     0.03546     0.06142     0.00000   -2.444115165   -3.987222805   -1.543107640
     1      19     0.04255     0.07371     0.00000   -2.521033997   -4.050524269   -1.529490271
     1      19     0.04965     0.08599     0.00000   -2.601540467   -4.119426339   -1.517885872
     1      19     0.05674     0.09827     0.00000   -2.684288996   -4.174699031   -1.490410035
     1      19     0.06383     0.11056     0.00000   -2.764857941   -4.036623828   -1.271765887
     1      19     0.07092     0.12284     0.00000   -2.741971463   -3.990287742   -1.248316280
     1      19     0.07802     0.13513     0.00000   -2.710505671   -3.957856965   -1.247351294
     1      19     0.08511     0.14741     0.00000   -2.676861829   -3.924163409   -1.247301580
     1      19     0.09220     0.15970     0.00000   -2.642547900   -3.889970142   -1.247422242
     1      19     0.09929     0.17198     0.00000   -2.610851785   -3.861029318   -1.250177532
     1      19     0.10639     0.18426     0.00000   -2.617589976   -3.943267881   -1.325677905
     1      19     0.11348     0.19655     0.00000   -2.730620959   -4.073195297   -1.342574338
     1      19     0.12057     0.20883     0.00000   -2.847770312   -4.210400320   -1.362630008
     1      19     0.12766     0.22112     0.00000   -2.966171777   -4.350422364   -1.384250587
     1      19     0.13475     0.23340     0.00000   -3.083349158   -4.489356943   -1.406007786
     1      19     0.14185     0.24569     0.00000   -3.196241380   -4.623086144   -1.426844764
     1      19     0.14894     0.25797     0.00000   -3.300973253   -4.745717825   -1.444744571
     1      19     0.15603     0.27026     0.00000   -3.393405734   -4.849665589   -1.456259855
     1      19     0.16312     0.28254     0.00000   -3.470768733   -4.930561522   -1.459792789
     1      19     0.17022     0.29482     0.00000   -3.533004243   -4.992938025   -1.459933782
     1      19     0.17731     0.30711     0.00000   -3.582088089   -5.042022373   -1.459934283
     1      19     0.18440     0.31939     0.00000   -3.620396365   -5.080442286   -1.460045921
     1      19     0.19149     0.33168     0.00000   -3.649822624   -5.112876027   -1.463053403
     1      19     0.19859     0.34396     0.00000   -3.671675761   -5.145196701   -1.473520940
     1      19     0.20568     0.35625     0.00000   -3.686837593   -5.177183294   -1.490345701
     1      19     0.21277     0.36853     0.00000   -3.695928542   -5.206139575   -1.510211033
     1      19     0.21986     0.38081     0.00000   -3.699422571   -5.230355439   -1.530932867
     1      19     0.22696     0.39310     0.00000   -3.704215127   -5.219905218   -1.515690090
     1      19     0.23405     0.40538     0.00000   -3.709865880   -5.237066995   -1.527201115
     1      19     0.24114     0.41767     0.00000   -3.714169654   -5.249628733   -1.535459079
     1      19     0.24823     0.42995     0.00000   -3.719804678   -5.258666603   -1.538861925
     1      19     0.25532     0.44224     0.00000   -3.730742885   -5.270014432   -1.539271547
     1      19     0.26242     0.45452     0.00000   -3.751646696   -5.290960348   -1.539313652
     1      19     0.26951     0.46680     0.00000   -3.784443961   -5.323593181   -1.539149220
     1      19     0.27660     0.47909     0.00000   -3.824413357   -5.363605735   -1.539192378
     1      19     0.28369     0.49137     0.00000   -3.862507310   -5.401761267   -1.539253958
     1      19     0.29079     0.50366     0.00000   -3.891891823   -5.429782563   -1.537890740
     1      19     0.29788     0.51594     0.00000   -3.911326745   -5.446850180   -1.535523435
     1      19     0.30497     0.52823     0.00000   -3.923286489   -5.456523269   -1.533236780
     1      19     0.31206     0.54051     0.00000   -3.930735288   -5.462927741   -1.532192453
     1      19     0.31916     0.55279     0.00000   -3.969166423   -5.537922025   -1.568755602
     1      19     0.32625     0.56508     0.00000   -4.005506614   -5.586666403   -1.581159789
     1      19     0.33334     0.57736     0.00000   -4.031292121   -5.619366746   -1.588074625
     1      19     0.34043     0.58965     0.00000   -4.047451262   -5.636775928   -1.589324667
     1      19     0.34753     0.60193     0.00000   -4.053624092   -5.642976339   -1.589352247
     1      19     0.35354     0.59156     0.00000   -4.048560427   -5.637887619   -1.589327192
     1      19     0.35955     0.58120     0.00000   -4.031931270   -5.621164132   -1.589232862
     1      19     0.36556     0.57083     0.00000   -4.000519116   -5.589378756   -1.588859640
     1      19     0.37156     0.56046     0.00000   -3.951880132   -5.539315742   -1.587435610
     1      19     0.37757     0.55009     0.00000   -3.905796527   -5.443247627   -1.537451100
     1      19     0.38358     0.53973     0.00000   -3.878262126   -5.413964633   -1.535702507
     1      19     0.38959     0.52936     0.00000   -3.839273982   -5.374116064   -1.534842082
     1      19     0.39560     0.51899     0.00000   -3.788581220   -5.325163805   -1.536582585
     1      19     0.40161     0.50862     0.00000   -3.729378793   -5.272195315   -1.542816522
     1      19     0.40762     0.49825     0.00000   -3.669374506   -5.223059442   -1.553684937
     1      19     0.41363     0.48789     0.00000   -3.619571790   -5.182708497   -1.563136706
     1      19     0.41964     0.47752     0.00000   -3.587394803   -5.151651696   -1.564256894
     1      19     0.42565     0.46715     0.00000   -3.570683297   -5.129884310   -1.559201014
     1      19     0.43166     0.45678     0.00000   -3.562966682   -5.116287400   -1.553320718
     1      19     0.43767     0.44642     0.00000   -3.559318111   -5.108985881   -1.549667770
     1      19     0.44368     0.43605     0.00000   -3.556976819   -5.105320568   -1.548343749
     1      19     0.44969     0.42568     0.00000   -3.554510234   -5.102191121   -1.547680887
     1      19     0.45570     0.41531     0.00000   -3.551209328   -5.098020714   -1.546811386
     1      19     0.46171     0.40494     0.00000   -3.546777795   -5.099472836   -1.552695040
     1      19     0.46772     0.39458     0.00000   -3.541176424   -5.093965884   -1.552789460
     1      19     0.47373     0.38421     0.00000   -3.534540423   -5.079019970   -1.544479547
     1      19     0.47974     0.37384     0.00000   -3.527129791   -5.067681720   -1.540551929
     1      19     0.48575     0.36347     0.00000   -3.519291875   -5.055453090   -1.536161215
     1      19     0.49176     0.35311     0.00000   -3.511429080   -5.041623621   -1.530194541
     1      19     0.49777     0.34274     0.00000   -3.503965844   -5.025808798   -1.521842954
     1      19     0.50378     0.33237     0.00000   -3.497316048   -5.007960715   -1.510644667
     1      19     0.50979     0.32200     0.00000   -3.491850221   -4.989176514   -1.497326293
     1      19     0.51580     0.31164     0.00000   -3.487864353   -4.971955892   -1.484091539
     1      19     0.52181     0.30127     0.00000   -3.485554793   -4.972689201   -1.487134408
     1      19     0.51116     0.29512     0.00000   -3.484289730   -4.957643894   -1.473354164
     1      19     0.50051     0.28897     0.00000   -3.480496056   -4.956020708   -1.475524652
     1      19     0.48986     0.28282     0.00000   -3.474178716   -4.953380942   -1.479202226
     1      19     0.47921     0.27667     0.00000   -3.465345290   -4.948072338   -1.482727048
     1      19     0.46856     0.27053     0.00000   -3.454006790   -4.939580001   -1.485573212
     1      19     0.45792     0.26438     0.00000   -3.440176423   -4.932055586   -1.491879163
     1      19     0.44727     0.25823     0.00000   -3.423869373   -4.922911018   -1.499041646
     1      19     0.43662     0.25208     0.00000   -3.405103047   -4.905080828   -1.499977781
     1      19     0.42597     0.24593     0.00000   -3.383896305   -4.879858483   -1.495962178
     1      19     0.41532     0.23978     0.00000   -3.360270142   -4.858843384   -1.498573241
     1      19     0.40467     0.23364     0.00000   -3.334246866   -4.835074045   -1.500827179
     1      19     0.39402     0.22749     0.00000   -3.305852023   -4.803704779   -1.497852756
     1      19     0.38337     0.22134     0.00000   -3.275115024   -4.771579142   -1.496464119
     1      19     0.37272     0.21519     0.00000   -3.242070800   -4.738424530   -1.496353729
     1      19     0.36207     0.20904     0.00000   -3.206761403   -4.702339230   -1.495577827
     1      19     0.35142     0.20289     0.00000   -3.169237872   -4.661052223   -1.491814351
     1      19     0.34077     0.19675     0.00000   -3.129561746   -4.612653755   -1.483092009
     1      19     0.33012     0.19060     0.00000   -3.087806687   -4.557445580   -1.469638893
     1      19     0.31948     0.18445     0.00000   -3.044059027   -4.497289903   -1.453230876
     1      19     0.30883     0.17830     0.00000   -2.998420378   -4.434404058   -1.435983680
     1      19     0.29818     0.17215     0.00000   -2.951007953   -4.370732548   -1.419724595
     1      19     0.28753     0.16600     0.00000   -2.901957856   -4.307877151   -1.405919295
     1      19     0.27688     0.15986     0.00000   -2.851428467   -4.247068335   -1.395639868
     1      19     0.26623     0.15371     0.00000   -2.799609999   -4.188913058   -1.389303059
     1      19     0.25558     0.14756     0.00000   -2.746741043   -4.132992689   -1.386251645
     1      19     0.24493     0.14141     0.00000   -2.693145186   -4.077884783   -1.384739598
     1      19     0.23428     0.13526     0.00000   -2.639318982   -4.022244817   -1.382925835
     1      19     0.22363     0.12911     0.00000   -2.586185732   -3.965614625   -1.379428893
