0.333333333  0.333333333  0.000000000      24
       1      13   -5.850259751   -6.536955975    0.344396151
       1      14   -5.798747096   -6.495798239    0.344172495
       1      15   -5.439019392   -6.232382367    0.381997898
       1      16   -5.400498211   -6.200254636    0.386242425
       1      17   -4.762102345   -5.585091704    0.236112680
       1      18   -4.426669915   -5.248006733    0.197531504
       1      19   -4.053638755   -4.922022086    0.158947915
       1      20   -3.945261883   -4.800417516    0.147142888
       1      21   -3.334486989   -4.277276218    0.083889069
       1      22   -3.281635304   -4.216130596    0.087103565
       1      23   -2.512132394   -3.425729887    0.056798172
       1      24   -2.442503944   -3.366801185    0.054560212
       1      25   -0.302012800   -0.877675456    0.010217068
       1      26    0.125376488   -0.449839918    0.009053519
       1      27    1.687162894    1.910067599   -0.002624254
       1      28    1.717822547    1.920667724   -0.002309943
       1      29    3.209848337    3.517747873   -0.009026345
       1      30    3.225820275    3.505378078   -0.013436374
       1      31    3.791507549    3.983204621   -0.031012895
       1      32    4.189518637    4.345066322   -0.050490745
       1      33    5.291761560    5.473901939   -0.079964253
       1      34    5.566188081    5.744463585   -0.095388802
       1      35    6.517241207    6.768374401   -0.153134909
       1      36    6.519603422    6.772972571   -0.155289938

