# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      39     0.00000     0.00000     0.00000    0.399656140   -0.683407375   -1.083063515
     1      39     0.00681     0.01179     0.00000    0.394322327   -0.687451029   -1.081773356
     1      39     0.01362     0.02358     0.00000    0.378530800   -0.699085426   -1.077616226
     1      39     0.02042     0.03538     0.00000    0.353484942   -0.712893924   -1.066378867
     1      39     0.02723     0.04717     0.00000    0.321596998   -0.720643007   -1.042240006
     1      39     0.03404     0.05896     0.00000    0.286825754   -0.718344353   -1.005170107
     1      39     0.04085     0.07075     0.00000    0.255328688   -0.706258890   -0.961587578
     1      39     0.04766     0.08254     0.00000    0.234720470   -0.684286731   -0.919007201
     1      39     0.05446     0.09433     0.00000    0.229216438   -0.652095181   -0.881311618
     1      39     0.06127     0.10613     0.00000    0.236632633   -0.615018097   -0.851650730
     1      39     0.06808     0.11792     0.00000    0.252561235   -0.582617343   -0.835178578
     1      39     0.07489     0.12971     0.00000    0.273604769   -0.557931238   -0.831536007
     1      39     0.08170     0.14150     0.00000    0.297476694   -0.533940284   -0.831416979
     1      39     0.08850     0.15329     0.00000    0.322386282   -0.509107530   -0.831493812
     1      39     0.09531     0.16509     0.00000    0.345112194   -0.494751351   -0.839863545
     1      39     0.10212     0.17688     0.00000    0.277554609   -0.713701916   -0.991256525
     1      39     0.10893     0.18867     0.00000    0.170251100   -0.821485757   -0.991736857
     1      39     0.11574     0.20046     0.00000    0.060292232   -0.928813662   -0.989105894
     1      39     0.12254     0.21225     0.00000   -0.050200543   -1.036108032   -0.985907489
     1      39     0.12935     0.22405     0.00000   -0.159248558   -1.141920619   -0.982672061
     1      39     0.13616     0.23584     0.00000   -0.268942257   -1.199776235   -0.930833978
     1      39     0.14297     0.24763     0.00000   -0.388647987   -1.322066009   -0.933418021
     1      39     0.14978     0.25942     0.00000   -0.501239548   -1.436543545   -0.935303997
     1      39     0.15658     0.27121     0.00000   -0.603406735   -1.539389664   -0.935982929
     1      39     0.16339     0.28300     0.00000   -0.692337435   -1.628353292   -0.936015858
     1      39     0.17020     0.29480     0.00000   -0.766845980   -1.702863639   -0.936017659
     1      39     0.17701     0.30659     0.00000   -0.827750559   -1.763931463   -0.936180904
     1      39     0.18382     0.31838     0.00000   -0.877050005   -1.816804471   -0.939754466
     1      39     0.19062     0.33017     0.00000   -0.916863418   -1.868816412   -0.951952994
     1      39     0.19743     0.34196     0.00000   -0.948909418   -1.920280854   -0.971371435
     1      39     0.20424     0.35376     0.00000   -0.974447183   -1.968512855   -0.994065672
     1      39     0.21105     0.36555     0.00000   -0.994383547   -2.011809585   -1.017426038
     1      39     0.21786     0.37734     0.00000   -1.009398170   -2.049266445   -1.039868276
     1      39     0.22466     0.38913     0.00000   -1.020038799   -2.079403279   -1.059364480
     1      39     0.23147     0.40092     0.00000   -1.026791421   -2.099461077   -1.072669656
     1      39     0.23828     0.41271     0.00000   -1.030139576   -2.107755289   -1.077615712
     1      39     0.24509     0.42451     0.00000   -1.030627845   -2.108501768   -1.077873923
     1      39     0.25190     0.43630     0.00000   -1.028979625   -2.106817981   -1.077838356
     1      39     0.25870     0.44809     0.00000   -1.038613502   -2.071483098   -1.032869596
     1      39     0.26551     0.45988     0.00000   -1.095442103   -2.132881387   -1.037439283
     1      39     0.27232     0.47167     0.00000   -1.149672133   -2.194183026   -1.044510893
     1      39     0.27913     0.48347     0.00000   -1.191237062   -2.243555502   -1.052318439
     1      39     0.28594     0.49526     0.00000   -1.216772716   -2.276769757   -1.059997041
     1      39     0.29275     0.50705     0.00000   -1.229616745   -2.297131388   -1.067514643
     1      39     0.29955     0.51884     0.00000   -1.252607178   -2.352047008   -1.099439831
     1      39     0.30636     0.53063     0.00000   -1.280579485   -2.393136401   -1.112556916
     1      39     0.31317     0.54242     0.00000   -1.298183086   -2.422016700   -1.123833614
     1      39     0.31998     0.55422     0.00000   -1.309149813   -2.439305717   -1.130155904
     1      39     0.32679     0.56601     0.00000   -1.315545063   -2.446818507   -1.131273445
     1      39     0.33359     0.57780     0.00000   -1.317927428   -2.449217563   -1.131290135
     1      39     0.33936     0.56785     0.00000   -1.315934060   -2.447209963   -1.131275903
     1      39     0.34513     0.55790     0.00000   -1.309079908   -2.440300272   -1.131220364
     1      39     0.35090     0.54794     0.00000   -1.294937461   -2.425873398   -1.130935936
     1      39     0.35667     0.53799     0.00000   -1.269846619   -2.399555127   -1.129708507
     1      39     0.36244     0.52804     0.00000   -1.229380069   -2.356124812   -1.126744743
     1      39     0.36821     0.51809     0.00000   -1.196616566   -2.287485302   -1.090868736
     1      39     0.37398     0.50814     0.00000   -1.165319734   -2.252474650   -1.087154916
     1      39     0.37974     0.49818     0.00000   -1.119314232   -2.203426495   -1.084112263
     1      39     0.38551     0.48823     0.00000   -1.058986128   -2.142070923   -1.083084795
     1      39     0.39128     0.47828     0.00000   -0.989700998   -2.074771523   -1.085070525
     1      39     0.39705     0.46833     0.00000   -0.921425524   -2.009442610   -1.088017086
     1      39     0.40282     0.45838     0.00000   -0.889777944   -2.020456285   -1.130678341
     1      39     0.40859     0.44842     0.00000   -0.873670594   -1.991499058   -1.117828465
     1      39     0.41436     0.43847     0.00000   -0.854893658   -1.963055487   -1.108161829
     1      39     0.42013     0.42852     0.00000   -0.833608401   -1.936382419   -1.102774019
     1      39     0.42590     0.41857     0.00000   -0.810070655   -1.910879176   -1.100808520
     1      39     0.43166     0.40861     0.00000   -0.784627588   -1.884589489   -1.099961901
     1      39     0.43743     0.39866     0.00000   -0.757711483   -1.856785726   -1.099074243
     1      39     0.44320     0.38871     0.00000   -0.729831438   -1.835447582   -1.105616144
     1      39     0.44897     0.37876     0.00000   -0.701563518   -1.807323808   -1.105760289
     1      39     0.45474     0.36881     0.00000   -0.673537126   -1.770525670   -1.096988543
     1      39     0.46051     0.35885     0.00000   -0.646420468   -1.739382244   -1.092961776
     1      39     0.46628     0.34890     0.00000   -0.620902098   -1.709410326   -1.088508228
     1      39     0.47205     0.33895     0.00000   -0.597666723   -1.680106285   -1.082439563
     1      39     0.47782     0.32900     0.00000   -0.577366522   -1.650921753   -1.073555231
     1      39     0.48358     0.31905     0.00000   -0.560587514   -1.621427376   -1.060839862
     1      39     0.48935     0.30909     0.00000   -0.547813362   -1.592615411   -1.044802049
     1      39     0.49512     0.29914     0.00000   -0.539389100   -1.567383962   -1.027994862
     1      39     0.50089     0.28919     0.00000   -0.535495112   -1.563631703   -1.028136591
     1      39     0.49067     0.28329     0.00000   -0.534244758   -1.559765094   -1.025520336
     1      39     0.48045     0.27739     0.00000   -0.530495034   -1.557188682   -1.026693648
     1      39     0.47022     0.27148     0.00000   -0.524249673   -1.553233423   -1.028983750
     1      39     0.46000     0.26558     0.00000   -0.515514990   -1.546759012   -1.031244022
     1      39     0.44978     0.25968     0.00000   -0.504299912   -1.537397914   -1.033098001
     1      39     0.43956     0.25378     0.00000   -0.490615661   -1.527582589   -1.036966928
     1      39     0.42933     0.24788     0.00000   -0.474475969   -1.515788708   -1.041312738
     1      39     0.41911     0.24197     0.00000   -0.455897439   -1.497695846   -1.041798407
     1      39     0.40889     0.23607     0.00000   -0.434899664   -1.473826729   -1.038927065
     1      39     0.39867     0.23017     0.00000   -0.411505558   -1.452626213   -1.041120655
     1      39     0.38845     0.22427     0.00000   -0.385742116   -1.428793133   -1.043051016
     1      39     0.37822     0.21837     0.00000   -0.357640399   -1.398434557   -1.040794158
     1      39     0.36800     0.21247     0.00000   -0.327237633   -1.367188603   -1.039950970
     1      39     0.35778     0.20656     0.00000   -0.294577140   -1.334840459   -1.040263320
