# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      39     0.00000     0.00000     0.00000    0.399656140   -1.455739149   -1.855395289
     1      39     0.00681     0.01179     0.00000    0.394322327   -1.459136200   -1.853458527
     1      39     0.01362     0.02358     0.00000    0.378530800   -1.468665627   -1.847196428
     1      39     0.02042     0.03538     0.00000    0.353484942   -1.478302059   -1.831787002
     1      39     0.02723     0.04717     0.00000    0.321596998   -1.481904363   -1.803501362
     1      39     0.03404     0.05896     0.00000    0.286825754   -1.478220103   -1.765045856
     1      39     0.04085     0.07075     0.00000    0.255328688   -1.467611397   -1.722940085
     1      39     0.04766     0.08254     0.00000    0.234720470   -1.448269543   -1.682990013
     1      39     0.05446     0.09433     0.00000    0.229216438   -1.418402877   -1.647619315
     1      39     0.06127     0.10613     0.00000    0.236632633   -1.382857125   -1.619489758
     1      39     0.06808     0.11792     0.00000    0.252561235   -1.351248958   -1.603810193
     1      39     0.07489     0.12971     0.00000    0.273604769   -1.326856583   -1.600461351
     1      39     0.08170     0.14150     0.00000    0.297476694   -1.302960715   -1.600437409
     1      39     0.08850     0.15329     0.00000    0.322386282   -1.278076128   -1.600462410
     1      39     0.09531     0.16509     0.00000    0.345112194   -1.261365376   -1.606477569
     1      39     0.10212     0.17688     0.00000    0.277554609   -1.445861253   -1.723415862
     1      39     0.10893     0.18867     0.00000    0.170251100   -1.563950037   -1.734201137
     1      39     0.11574     0.20046     0.00000    0.060292232   -1.687069437   -1.747361669
     1      39     0.12254     0.21225     0.00000   -0.050200543   -1.812376375   -1.762175832
     1      39     0.12935     0.22405     0.00000   -0.159248558   -1.936711084   -1.777462527
     1      39     0.13616     0.23584     0.00000   -0.268942257   -2.005073159   -1.736130902
     1      39     0.14297     0.24763     0.00000   -0.388647987   -2.142934028   -1.754286040
     1      39     0.14978     0.25942     0.00000   -0.501239548   -2.267264586   -1.766025039
     1      39     0.15658     0.27121     0.00000   -0.603406735   -2.373075977   -1.769669241
     1      39     0.16339     0.28300     0.00000   -0.692337435   -2.462159591   -1.769822156
     1      39     0.17020     0.29480     0.00000   -0.766845980   -2.536669331   -1.769823351
     1      39     0.17701     0.30659     0.00000   -0.827750559   -2.597726432   -1.769975873
     1      39     0.18382     0.31838     0.00000   -0.877050005   -2.651020934   -1.773970929
     1      39     0.19062     0.33017     0.00000   -0.916863418   -2.704687311   -1.787823893
     1      39     0.19743     0.34196     0.00000   -0.948909418   -2.758950600   -1.810041181
     1      39     0.20424     0.35376     0.00000   -0.974447183   -2.810651421   -1.836204238
     1      39     0.21105     0.36555     0.00000   -0.994383547   -2.857774899   -1.863391352
     1      39     0.21786     0.37734     0.00000   -1.009398170   -2.899229455   -1.889831285
     1      39     0.22466     0.38913     0.00000   -1.020038799   -2.933210211   -1.913171412
     1      39     0.23147     0.40092     0.00000   -1.026791421   -2.956264891   -1.929473469
     1      39     0.23828     0.41271     0.00000   -1.030139576   -2.965997186   -1.935857610
     1      39     0.24509     0.42451     0.00000   -1.030627845   -2.967084255   -1.936456410
