0.333333333  0.333333333  0.000000000      26
       1      35   -2.827152414   -3.824524156    0.463659869
       1      36   -2.661928758   -3.646581060    0.450850242
       1      37   -1.971233075   -3.000562406    0.314317941
       1      38   -1.821367693   -2.868999989    0.306882614
       1      39   -1.317930996   -2.449221168    0.221883217
       1      40   -1.237644108   -2.334626616    0.207655143
       1      41   -0.928380811   -2.140013519    0.190862338
       1      42   -0.688952918   -1.883990480    0.183015424
       1      43    0.072620537   -1.077236065    0.111227486
       1      44    0.150522346   -1.013749223    0.106001649
       1      45    2.228171788    1.589715033    0.015947394
       1      46    2.692833917    2.050158053    0.014029174
       1      47    3.961281501    4.096978088   -0.001902406
       1      48    3.998726667    4.113343389   -0.001628992
       1      49    5.263767155    5.384759466   -0.008596085
       1      50    5.277356647    5.438601381   -0.005712109
       1      51    5.746146278    5.757113018   -0.023132719
       1      52    6.156794677    6.138962390   -0.042047004
       1      53    7.190687886    7.105476171   -0.050680982
       1      54    7.430582770    7.349836048   -0.063220989
       1      55    8.187034282    8.352048734   -0.128821123
       1      56    8.235464270    8.404247149   -0.130041624
       1      57    8.620080707    8.798439694   -0.200579374
       1      58    9.002787819    9.177632873   -0.211889945
       1      59   11.032183740   11.153734235   -0.118916529
       1      60   11.107627814   11.221405992   -0.113579669

